2026-05-05 16:54:39, MOVE, v:1, k:fup@inverte, mode:DOWN
2026-05-05 16:54:41, MOVE, v:1, k:fup@inverte, mode:PICK
2026-05-05 16:54:39, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 16:54:39, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 16:54:39, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 17:02:52, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 17:07:35, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 17:12:23, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 17:16:52, MOVE, v:1, k:fup@inverte, mode:EDIT
2026-05-05 17:24:25, MOVE, v:1, k:fup@inverte, mode:BACK
